Name,Legacy/M2M,Type,Zone,Region,State,Methasoft Version
York County - Legacy,Legacy,Live,Treatment Titans,SouthEast,South Carolina,8.1.3.0
York County - M2M,M2M,Live,Treatment Titans,SouthEast,South Carolina,8.1.3.0
z Closed Clinics - Eau Claire - Legacy,Legacy,Closed,N/A,Upper Mid-West Region,Wisconsin,7.1.4.3
z Closed Clinics - Sumter County - Legacy,Legacy,Closed,N/A,South Region,Alabama,7.1.4.3
z Closed Clinics - Union - Legacy,Legacy,Closed,Zone 3,Northeast Region,Pennsylvania,7.1.4.3
Z IT - FL DON Template - Legacy,Legacy,Template,,,Florida,8.1.3.0
z IT - Sandbox 7143 - Legacy,Legacy,Sandbox,,,,7.1.4.3
z IT - Sandbox 7804 - Legacy,Legacy,Sandbox,,,,7.8.0.4
z IT - Sandbox 8130 - Legacy,Legacy,Sandbox,,,,8.1.3.0
z IT - Template 8130 - Legacy,Legacy,Template,,,,8.1.3.0
z M2M Alabama State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Colorado State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Florida State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Georgia State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Indiana State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M IT Sandbox 8130 - M2M,M2M,Sandbox,,,,8.1.3.0
z M2M Kentucky State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Maine State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Maryland State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Minnesota State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Mississippi State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Missouri State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M New Hampshire State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M New Mexico State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M North Carolina State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Ohio State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Oregon State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M South Carolina State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Texas State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Utah State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z M2M Virginia State Template - M2M,M2M,M2M Template,,,,8.1.3.0
z New New Mexico Template - M2M,M2M,M2M Template,,,,8.1.3.0
z RevCycle - Sandbox - Legacy,Legacy,Sandbox,,,,7.1.4.3
z Training - Lee.Training - Legacy,Legacy,Sandbox,,,,7.8.0.4
z Training - Training - Legacy,Legacy,Sandbox,,,,7.1.4.3
